food,unit,kcal,protein,carb,fat,source
加州蜜李(進口),100 g,66.0,1.3,17.1,0.1,TFDA
加州青李,100 g,47.0,0.6,12.0,0.2,TFDA
加拉蘋果,100 g,55.0,0.2,15.0,0.1,TFDA
加糖部份脫脂煉乳,100 g,325.0,7.5,56.2,7.8,TFDA
加鈣米,100 g,355.0,7.4,77.7,0.7,TFDA
加鹽沙士,100 g,41.0,0.8,9.4,0.0,TFDA
包心白菜,100 g,14.0,1.2,2.6,0.1,TFDA
包心芥菜,100 g,17.0,1.0,2.7,0.5,TFDA
包餡甜麻糬(紅豆),100 g,329.0,10.0,65.7,2.9,TFDA
北方長額蝦(加工),100 g,122.0,19.9,2.7,4.1,TFDA
"北蕉(0天,綠皮)",100 g,90.0,1.3,23.3,0.3,TFDA
北蕉(11月取樣),100 g,90.0,1.6,23.4,0.1,TFDA
北蕉(1天),100 g,87.0,1.4,22.2,0.3,TFDA
北蕉(2月取樣),100 g,93.0,1.3,24.6,0.0,TFDA
北蕉(3天),100 g,84.0,1.4,21.3,0.3,TFDA
北蕉(5月取樣),100 g,92.0,1.6,23.7,0.2,TFDA
北蕉(7天),100 g,68.0,1.3,17.1,0.2,TFDA
北蕉(9月取樣),100 g,65.0,1.3,16.6,0.0,TFDA
北蕉平均值,100 g,85.0,1.5,22.1,0.1,TFDA
千寶菜,100 g,20.0,1.7,3.6,0.2,TFDA
千島沙拉醬,100 g,515.0,1.0,16.7,49.3,TFDA
南瓜平均值,100 g,74.0,1.9,17.3,0.2,TFDA
南瓜籽油,100 g,883.0,0.0,0.0,99.9,TFDA
南美刺參,100 g,52.0,12.0,0.0,0.0,TFDA
南華蕉,100 g,124.0,1.1,33.2,0.1,TFDA
印度鐮齒魚,100 g,49.0,10.4,0.4,0.5,TFDA
即溶咖啡粉,100 g,363.0,16.6,71.2,1.3,TFDA
即食燕麥片,100 g,406.0,11.9,67.9,9.6,TFDA
原味夏威夷豆,100 g,700.0,7.5,18.2,71.6,TFDA
原味愛玉凍,100 g,2.0,,0.4,,TFDA
原味松子仁,100 g,680.0,14.5,13.0,69.0,TFDA
原味榛果,100 g,672.0,13.0,17.2,66.5,TFDA
原味腰果,100 g,566.0,16.4,35.2,43.7,TFDA
原味葵瓜子(去殼),100 g,586.0,22.0,18.7,51.9,TFDA
厥子,100 g,23.0,2.3,3.9,0.2,TFDA
去皮去骨雞腿(肉雞),100 g,165.0,19.8,0.0,8.9,TFDA
去皮清肉(土雞),100 g,121.0,23.4,0.0,2.3,TFDA
去皮清肉(肉雞),100 g,117.0,23.3,0.6,1.9,TFDA
去皮清肉平均值,100 g,119.0,23.3,0.0,2.1,TFDA
去筋麵粉,100 g,355.0,0.2,85.7,0.1,TFDA
去膜花生仁(生),100 g,558.0,28.8,19.1,45.4,TFDA
去骨牛小排,100 g,290.0,17.1,0.0,24.0,TFDA
去骨紐約克牛排,100 g,200.0,21.3,0.0,12.0,TFDA
去骨肩頸眼羊肉,100 g,198.0,17.8,0.0,13.5,TFDA
去骨鴨掌,100 g,113.0,12.6,0.0,6.6,TFDA
叉燒肉,100 g,253.0,17.2,16.5,13.1,TFDA
可可椰子汁(屏東),100 g,16.0,0.1,3.8,0.2,TFDA
可可椰子汁(進口),100 g,19.0,0.2,5.0,0.0,TFDA
可可椰子汁平均值,100 g,17.0,0.1,4.4,0.1,TFDA
可可粉,100 g,464.0,20.8,43.8,22.8,TFDA
可樂,100 g,51.0,,12.8,,TFDA
可樂(低熱量),100 g,1.0,,0.3,,TFDA
可頌,100 g,452.0,7.3,47.1,26.1,TFDA
台式泡菜,100 g,59.0,0.9,13.1,0.3,TFDA
台灣南瓜,100 g,49.0,1.7,11.1,0.2,TFDA
台灣藜(紅)(帶殼),100 g,386.0,14.9,62.3,8.5,TFDA
台灣蜆,100 g,51.0,8.9,9.8,1.4,TFDA
台灣鎖管,100 g,72.0,16.0,1.6,0.4,TFDA
台灣鯛魚湯(水煮),100 g,5.0,0.9,0.0,0.2,TFDA
台灣鯛魚片(微波),100 g,140.0,24.9,1.4,3.7,TFDA
台灣鯛魚片(水煮),100 g,130.0,23.4,1.3,3.3,TFDA
台灣鯛魚片(油煎),100 g,162.0,23.1,1.9,6.9,TFDA
台灣鯛魚片(清蒸),100 g,112.0,19.3,2.2,3.3,TFDA
"台灣鯛魚片(烤,190℃,10分鐘)",100 g,111.0,19.7,1.8,3.0,TFDA
"台灣鯛魚片(烤,190℃,20分鐘)",100 g,134.0,23.0,2.1,4.0,TFDA
"台灣鯛魚片(烤,230℃,10分鐘)",100 g,127.0,21.3,1.5,4.0,TFDA
"台灣鯛魚片(烤,230℃,20分鐘)",100 g,142.0,24.6,2.5,4.1,TFDA
台灣鯛魚片(生),100 g,110.0,18.2,2.5,3.6,TFDA
台灣鯛魚片(生)(2021年),100 g,109.0,17.9,1.5,3.7,TFDA
史氏紅諧魚,100 g,97.0,21.1,0.0,0.7,TFDA
向陽二號胡蘿蔔,100 g,44.0,0.6,10.6,0.1,TFDA
味噌,100 g,215.0,10.6,33.1,4.5,TFDA
味精,100 g,251.0,44.5,18.1,,TFDA
味醂,100 g,220.0,0.5,54.5,0.0,TFDA
和風沙拉醬,100 g,129.0,2.1,26.3,1.7,TFDA
咖哩塊,100 g,515.0,5.6,45.4,34.5,TFDA
咖哩粉,100 g,417.0,13.9,58.5,14.1,TFDA
咖啡(三合一),100 g,39.0,0.9,8.2,0.4,TFDA
咖啡凍,100 g,75.0,0.1,18.1,0.2,TFDA
咖啡沖泡包(三合一),100 g,437.0,4.8,83.0,9.5,TFDA
咖啡沖泡包(二合一),100 g,491.0,6.8,63.6,23.3,TFDA
咖啡豆(曼特寧),100 g,437.0,13.9,65.1,14.9,TFDA
哈氏彷對蝦,100 g,82.0,18.7,0.6,0.2,TFDA
啤酒,100 g,49.0,,8.9,0.0,TFDA
喜來菇,100 g,37.0,3.5,6.3,0.4,TFDA
單斑笛鯛,100 g,106.0,20.7,0.0,1.9,TFDA
單角革單棘魨(去皮),100 g,79.0,17.2,0.0,0.6,TFDA
單角革單棘魨(含皮),100 g,76.0,17.9,0.0,0.0,TFDA
嘉寶果,100 g,59.0,0.3,15.3,0.3,TFDA
嘉寶瓜,100 g,40.0,0.8,10.0,0.2,TFDA
嘉玉甜瓜,100 g,43.0,1.3,10.4,0.1,TFDA
四周柿,100 g,66.0,0.5,17.6,0.1,TFDA
四季芒果,100 g,60.0,0.6,15.6,0.2,TFDA
國產甜柿,100 g,47.0,0.4,12.7,0.1,TFDA
國產紅棗,100 g,87.0,0.9,23.1,0.1,TFDA
圓果金柑,100 g,32.0,0.7,7.6,0.2,TFDA
圓果金柑汁(綠皮),100 g,32.0,0.9,8.0,0.1,TFDA
圓茄子,100 g,21.0,1.0,4.5,0.0,TFDA
圓鱈魚卵(加工),100 g,84.0,11.2,0.0,4.4,TFDA
圓鱈魚鰓肉,100 g,84.0,14.5,3.9,2.5,TFDA
土司,100 g,289.0,9.5,48.6,6.3,TFDA
土司(含全穀粉),100 g,292.0,10.0,49.2,6.1,TFDA
土番鴨,100 g,111.0,20.9,0.0,2.4,TFDA
土芒果,100 g,54.0,0.6,13.8,0.3,TFDA
土芭樂,100 g,39.0,0.7,10.0,0.1,TFDA
土雞,100 g,196.0,19.0,0.0,12.7,TFDA
土雞皮蛋,100 g,127.0,12.2,2.3,7.6,TFDA
土雞蛋,100 g,129.0,12.9,1.7,8.1,TFDA
土雞蛋(2022年取樣),100 g,137.0,12.2,1.8,9.3,TFDA
埔里米粉,100 g,358.0,0.5,87.7,0.5,TFDA
培根,100 g,372.0,13.5,0.0,35.6,TFDA
塔菇菜(有機),100 g,14.0,1.9,2.3,0.0,TFDA
壽司(豆皮壽司),100 g,194.0,6.3,31.7,4.7,TFDA
壽司海苔片,100 g,278.0,46.5,32.1,3.7,TFDA
壽司醋,100 g,181.0,,45.2,,TFDA
多多綠茶(全糖),100 g,49.0,1.1,11.0,0.1,TFDA
多鱗四指馬鮁,100 g,146.0,19.0,0.0,7.2,TFDA
多鱗沙鮻,100 g,90.0,18.6,0.6,1.2,TFDA
大口逆鈎鰺,100 g,103.0,21.8,0.1,1.1,TFDA
大口鰜切片(含皮),100 g,166.0,14.7,0.0,11.5,TFDA
大口黑鱸,100 g,130.0,20.7,0.0,4.6,TFDA
大心芥菜,100 g,13.0,1.0,2.5,0.0,TFDA
大文蛤,100 g,21.0,4.4,1.5,0.2,TFDA
大甲鰺,100 g,105.0,21.2,0.4,1.6,TFDA
大番茄平均值(紅色系),100 g,19.0,0.8,4.1,0.1,TFDA
大番茄平均值(綠色系),100 g,22.0,0.7,5.0,0.1,TFDA
大目鮪,100 g,103.0,23.9,0.0,0.1,TFDA
大眼金梭魚,100 g,157.0,21.8,0.0,7.1,TFDA
大管鞭蝦,100 g,88.0,19.8,0.6,0.3,TFDA
大芥菜,100 g,19.0,0.8,3.4,0.5,TFDA
大蒜,100 g,122.0,6.7,26.4,0.2,TFDA
大西洋鮭魚(台灣養殖),100 g,155.0,23.6,0.0,6.0,TFDA
大西洋鮭魚切片(中段),100 g,174.0,20.7,0.0,9.5,TFDA
大西洋鮭魚切片(尾段),100 g,204.0,20.7,0.0,12.8,TFDA
大西洋鮭魚平均值(去皮),100 g,221.0,20.2,0.0,14.9,TFDA
大西洋鮭魚生魚片,100 g,222.0,19.6,0.0,15.3,TFDA
大西洋鮭魚腹肉,100 g,349.0,16.4,0.0,31.0,TFDA
大豆油,100 g,884.0,0.0,0.0,100.0,TFDA
大豆油(卵磷脂強化),100 g,880.0,0.0,0.0,99.6,TFDA
大豆油(多種維生素強化),100 g,883.0,0.0,0.0,99.9,TFDA
大雪梨,100 g,42.0,0.3,11.1,0.1,TFDA
大頭蝦仁,100 g,40.0,8.8,0.0,0.2,TFDA
大餅包小餅(紅豆),100 g,376.0,8.3,48.5,16.5,TFDA
大麥仁,100 g,365.0,8.6,77.1,1.6,TFDA
大麥仁粉,100 g,389.0,7.1,85.0,1.3,TFDA
